Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,2P,2PA,2P_Perc,eFG_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS_G
269.0,Antonio McDyess,PF,34.0,DET,62.0,30.0,30.1,4.3,8.5,0.51,0.0,0.0,0.0,4.3,8.5,0.51,0.51,1.0,1.4,0.698,3.0,6.8,9.8,1.3,0.7,0.8,0.8,3.1,9.6
270.0,JaVale McGee,C,21.0,WAS,75.0,14.0,15.2,2.5,5.2,0.494,0.0,0.0,0.0,2.5,5.2,0.494,0.494,1.4,2.2,0.66,1.6,2.3,3.9,0.3,0.4,1.0,0.8,2.1,6.5
271.0,Tracy McGrady*,SG,29.0,HOU,35.0,35.0,33.7,5.4,13.9,0.38799999999999996,1.3,3.3,0.376,4.1,10.5,0.391,0.433,3.6,4.5,0.8009999999999999,0.6,3.8,4.4,5.0,1.2,0.4,2.0,1.1,15.6
272.0,Dominic McGuire,SF,23.0,WAS,79.0,57.0,26.2,1.8,4.1,0.43200000000000005,0.0,0.1,0.5,1.7,4.1,0.431,0.435,0.9,1.3,0.725,1.4,4.0,5.4,2.5,0.8,0.9,1.2,1.9,4.5
273.0,Josh McRoberts,PF,21.0,IND,33.0,0.0,8.5,1.1,2.5,0.42200000000000004,0.0,0.3,0.0,1.1,2.2,0.479,0.42200000000000004,0.3,0.4,0.769,0.8,1.5,2.2,0.5,0.4,0.5,0.4,1.2,2.4
274.0,Pops Mensah-Bonsu,PF,25.0,TOT,22.0,0.0,12.9,1.8,4.7,0.379,0.0,0.1,0.0,1.8,4.6,0.386,0.379,1.5,2.2,0.688,2.5,2.6,5.1,0.3,0.4,0.2,0.9,2.0,5.0
274.0,Pops Mensah-Bonsu,PF,25.0,SAS,3.0,0.0,6.7,1.7,2.3,0.7140000000000001,0.0,0.0,0.0,1.7,2.3,0.7140000000000001,0.7140000000000001,1.7,2.3,0.7140000000000001,1.7,1.7,3.3,0.0,0.3,0.3,0.7,2.0,5.0
274.0,Pops Mensah-Bonsu,PF,25.0,TOR,19.0,0.0,13.8,1.8,5.1,0.354,0.0,0.1,0.0,1.8,4.9,0.36200000000000004,0.354,1.5,2.2,0.6829999999999999,2.6,2.8,5.4,0.3,0.4,0.2,0.9,1.9,5.1
275.0,Chris Mihm,C,29.0,LAL,18.0,0.0,5.8,0.8,2.2,0.375,0.0,0.0,0.0,0.8,2.2,0.375,0.375,0.3,0.4,0.857,0.8,1.1,1.9,0.6,0.1,0.3,0.6,1.3,2.0
276.0,C.J. Miles,SG,21.0,UTA,72.0,72.0,22.5,3.6,7.8,0.45899999999999996,0.9,2.5,0.35200000000000004,2.7,5.3,0.509,0.515,1.1,1.2,0.8759999999999999,0.6,1.7,2.3,1.5,0.6,0.2,0.9,2.6,9.1
277.0,Darius Miles,SF,27.0,MEM,34.0,0.0,8.8,1.4,2.9,0.485,0.0,0.2,0.16699999999999998,1.4,2.7,0.505,0.49,0.7,0.9,0.742,0.6,1.1,1.7,0.5,0.3,0.6,0.6,0.9,3.5
278.0,Darko Milicic,C,23.0,MEM,61.0,15.0,17.0,2.2,4.4,0.515,0.0,0.0,0.0,2.2,4.4,0.515,0.515,1.0,1.7,0.562,1.4,3.0,4.3,0.6,0.4,0.8,0.8,2.2,5.5
